YEAR,QUARTER,ORIGIN,DEST,avg_fare,passengers_db1b,market_distance,passengers_t100,seats,departures_performed,avg_fuel_price,load_factor,route,is_saturated
2025,1,ATL,ILG,47.820754716981135,115.0,644.7735849056604,1145.0,3024.0,16.0,2.2231333333333336,0.37863756613756616,ATL-ILG,0
2025,1,ATL,ILM,286.02474431818183,421.0,380.73579545454544,22320.0,25781.0,317.0,2.2231333333333336,0.8657538497343005,ATL-ILM,1
2025,1,ATL,IND,253.09536170212766,3200.0,443.41884498480243,100225.0,130118.0,842.0,2.2231333333333336,0.7702623772268249,ATL-IND,0
2025,1,ATL,JAC,533.8671186440678,413.0,1621.2415254237287,10605.0,13839.0,73.0,2.2231333333333336,0.7663125948406677,ATL-JAC,0
2025,1,ATL,JAN,274.6364537444934,663.0,341.3942731277533,56170.0,75717.0,698.0,2.2231333333333336,0.7418413302164639,ATL-JAN,0
2025,1,ATL,JAX,269.78334653465345,2521.0,278.1712871287129,158926.0,191561.0,1018.0,2.2231333333333336,0.8296365126513225,ATL-JAX,1
2025,1,ATL,JFK,207.42133200795226,7172.0,776.4950298210736,123096.0,155393.0,900.0,2.2231333333333336,0.7921592349719743,ATL-JFK,0
2025,1,ATL,LAL,45.59375,28.0,415.0,320.0,567.0,3.0,2.2231333333333336,0.564373897707231,ATL-LAL,0
2025,1,ATL,LAN,268.80779411764706,71.0,714.5294117647059,0.0,189.0,1.0,2.2231333333333336,0.0,ATL-LAN,0
2025,1,ATL,LAS,375.82297351828504,9957.0,1793.8310214375788,187151.0,229196.0,1168.0,2.2231333333333336,0.8165543901289726,ATL-LAS,1
2025,1,ATL,LAX,378.75891812865495,21564.0,1999.241340530814,426090.0,508742.0,2452.0,2.2231333333333336,0.8375365116306497,ATL-LAX,1
2025,1,ATL,LEX,299.0438845144357,529.0,304.9790026246719,47705.0,56371.0,547.0,2.2231333333333336,0.8462684713771266,ATL-LEX,1
2025,1,ATL,LFT,322.24561855670106,261.0,526.3762886597938,18628.0,23462.0,316.0,2.2231333333333336,0.7939647088909726,ATL-LFT,0
